antecedente,consequente,suporte,confianca,lift
periodo=manha,cluster=3,0.19323621227887616,0.8325487558843309,3.0625047058558543
cluster=3,periodo=manha,0.19323621227887616,0.7108133971291866,3.0625047058558543
faixa_dia=01-05 + periodo=tarde,cluster=1,0.10473465140478667,0.9549335863377608,2.7851022047665803
faixa_dia=01-05 + periodo=noite,cluster=1,0.10416233090530697,0.9537875178656502,2.7817596499814563
faixa_dia=11-16 + periodo=tarde,cluster=0,0.1331945889698231,0.9693297993184402,2.7333507545335123
faixa_dia=11-16 + periodo=noite,cluster=0,0.09640998959417274,0.9610995850622407,2.710142902713654
latitude=norte,longitude=leste,0.15130072840790842,0.6098993288590604,2.4441753754526983
longitude=leste,latitude=norte,0.15130072840790842,0.6063386155129274,2.4441753754526983
longitude=centro_leste,latitude=centro_norte,0.13761706555671177,0.5506974807412035,2.1913883188086816
cluster=0 + periodo=tarde,faixa_dia=11-16,0.1331945889698231,0.7320560480411783,2.1324821526752724
faixa_dia=11-16,cluster=0,0.2537981269510926,0.7393149439224007,2.0847466581849385
cluster=0,faixa_dia=11-16,0.2537981269510926,0.715669014084507,2.0847466581849385
faixa_dia=01-05,cluster=1,0.21831425598335066,0.7042631755622693,2.05401187167023
cluster=1,faixa_dia=01-05,0.21831425598335066,0.6367223065250379,2.05401187167023
cluster=1 + periodo=noite,faixa_dia=01-05,0.10416233090530697,0.6321439848437007,2.039242596290018
cluster=1 + periodo=tarde,faixa_dia=01-05,0.10473465140478667,0.6209130166563849,2.0030124505095195
cluster=0 + periodo=noite,faixa_dia=11-16,0.09640998959417274,0.6492641906096707,1.8913091457286861
